gene_id	go_terms
LYRU2_2A019754	GO:0005793;GO:0006879;GO:0007042;GO:0016471;GO:0030137;GO:0036295;GO:0042406;GO:0051082;GO:0070072;GO:1905146
LYRU2_2A030667	GO:0006364;GO:0034457;GO:0042134
LYRU2_2A030257	
LYRU2_2A007189	
LYRU2_2A018201	GO:0008556;GO:0016020;GO:0016887;GO:0046872;GO:0071805;GO:1902600
LYRU2_2A025033	GO:0005813;GO:0005814;GO:0007224;GO:0019901;GO:0019904;GO:0030954;GO:0036064;GO:0042802;GO:0043015;GO:0044458;GO:0045893;GO:0046427;GO:0051301;GO:0120099;GO:1900087;GO:1902857;GO:1903724;GO:1904951
LYRU2_2A009003	
LYRU2_2A015138	GO:0000792;GO:0003682;GO:0005654;GO:0005730;GO:0005829;GO:0005886;GO:0035064;GO:0044030;GO:0045869;GO:0045892;GO:0090309
LYRU2_2A023998	GO:0002218;GO:0003723;GO:0005737;GO:0016363;GO:0016607;GO:0042382;GO:0042752;GO:0045892
LYRU2_2A005088	GO:0008270;GO:0016607
LYRU2_2A016194	
LYRU2_2A022615	GO:0005922;GO:0007154;GO:0007601;GO:0055085
LYRU2_2A032854	GO:0005922;GO:0007267;GO:0007605;GO:0010644;GO:0016264;GO:0042802;GO:0055085;GO:1903763;GO:1990349
LYRU2_2A021624	
LYRU2_2A032091	GO:0042803;GO:0050104;GO:0070403
LYRU2_2A000402	GO:0005814;GO:0030992;GO:0036064;GO:0045724
LYRU2_2A010872	GO:0005615;GO:0006954;GO:0007165
LYRU2_2A016516	GO:0005515;GO:0005643;GO:0005654;GO:0005829;GO:0046827
LYRU2_2A026745	GO:0005524;GO:0006468
LYRU2_2A018133	
LYRU2_2A020052	GO:0003714;GO:0005829;GO:0016607;GO:0035145;GO:0043065;GO:0045892;GO:0048025;GO:0061574
LYRU2_2A030423	GO:0005737;GO:0005819;GO:0007059;GO:0016020
LYRU2_2A002377	
LYRU2_2A024800	GO:0008270;GO:0018230;GO:0019706;GO:0043231;GO:0044794
LYRU2_2A033779	GO:0005758;GO:0036444;GO:0046982;GO:0051561;GO:0051562;GO:1990246
